level,frequent_itemset,count,support
1,D56,32.0,0.006400
1,D57,7.0,0.001400
1,D58,5.0,0.001000
1,D59,8.0,0.001600
1,D61,23.0,0.004600
1,D62,23.0,0.004600
1,D63,105.0,0.021000
1,D64,435.0,0.087000
1,D65,2.0,0.000400
1,D68,189.0,0.037800
1,D69,265.0,0.053000
1,D70,23.0,0.004600
1,D71,6.0,0.001200
1,D72,156.0,0.031200
1,D73,3.0,0.000600
1,D75,57.0,0.011400
1,D80,5.0,0.001000
1,D83,1.0,0.000200
1,D84,59.0,0.011800
1,D86,6.0,0.001200
1,D89,81.0,0.016200
1,E01,7.0,0.001400
1,E02,8.0,0.001600
1,E03,685.0,0.137000
1,E04,165.0,0.033000
1,E05,79.0,0.015800
1,E06,30.0,0.006000
1,E07,45.0,0.009000
1,E08,11.0,0.002200
1,E09,6.0,0.001200
1,E10,32.0,0.006400
1,E11,1339.0,0.267800
1,E13,4.0,0.000800
1,E15,1.0,0.000200
1,E16,15.0,0.003000
1,E20,1.0,0.000200
1,E21,47.0,0.009400
1,E22,7.0,0.001400
1,E23,12.0,0.002400
1,E24,2.0,0.000400
1,E26,8.0,0.001600
1,E27,21.0,0.004200
1,E28,2.0,0.000400
1,E29,67.0,0.013400
1,E30,2.0,0.000400
1,E34,4.0,0.000800
1,E41,1.0,0.000200
1,E42,1.0,0.000200
1,E43,18.0,0.003600
1,E44,12.0,0.002400
1,E46,51.0,0.010200
1,E50,1.0,0.000200
1,E52,1.0,0.000200
1,E53,105.0,0.021000
1,E55,747.0,0.149400
1,E56,2.0,0.000400
1,E61,22.0,0.004400
1,E63,5.0,0.001000
1,E65,2.0,0.000400
1,E66,1364.0,0.272800
1,E70,3.0,0.000600
1,E72,17.0,0.003400
1,E73,8.0,0.001600
1,E74,23.0,0.004600
1,E75,2.0,0.000400
1,E76,1.0,0.000200
1,E77,4.0,0.000800
1,E78,3429.0,0.685800
1,E79,16.0,0.003200
1,E80,16.0,0.003200
1,E83,145.0,0.029000
1,E85,4.0,0.000800
1,E86,63.0,0.012600
1,E87,387.0,0.077400
1,E88,37.0,0.007400
1,E89,52.0,0.010400
1,F01,27.0,0.005400
1,F02,89.0,0.017800
1,F03,209.0,0.041800
1,F05,13.0,0.002600
1,F06,5.0,0.001000
1,F07,9.0,0.001800
1,F09,9.0,0.001800
1,F10,187.0,0.037400
1,F11,68.0,0.013600
1,F12,54.0,0.010800
1,F13,54.0,0.010800
1,F14,18.0,0.003600
1,F15,53.0,0.010600
1,F16,1.0,0.000200
1,F17,241.0,0.048200
1,F19,40.0,0.008000
1,F20,20.0,0.004000
1,F22,14.0,0.002800
1,F25,12.0,0.002400
1,F29,12.0,0.002400
1,F30,6.0,0.001200
1,F31,65.0,0.013000
1,F32,641.0,0.128200
1,F33,305.0,0.061000
1,F34,30.0,0.006000
1,F39,15.0,0.003000
1,F40,15.0,0.003000
1,F41,525.0,0.105000
1,F42,15.0,0.003000
1,F43,124.0,0.024800
1,F44,2.0,0.000400
1,F45,9.0,0.001800
1,F48,1.0,0.000200
1,F50,8.0,0.001600
1,F51,51.0,0.010200
1,F52,6.0,0.001200
1,F60,6.0,0.001200
1,F63,1.0,0.000200
1,F64,1.0,0.000200
1,F71,2.0,0.000400
1,F79,3.0,0.000600
1,F80,1.0,0.000200
1,F81,1.0,0.000200
1,F84,4.0,0.000800
1,F89,2.0,0.000400
1,F90,23.0,0.004600
1,F91,1.0,0.000200
1,F94,1.0,0.000200
1,F95,3.0,0.000600
1,F98,7.0,0.001400
1,F99,3.0,0.000600
1,G03,2.0,0.000400
1,G04,3.0,0.000600
1,G06,3.0,0.000600
1,G10,1.0,0.000200
1,G11,10.0,0.002000
1,G12,2.0,0.000400
1,G14,2.0,0.000400
1,G20,53.0,0.010600
1,G23,2.0,0.000400
1,G24,10.0,0.002000
1,G25,79.0,0.015800
1,G30,91.0,0.018200
1,G31,114.0,0.022800
1,G32,4.0,0.000800
1,G35,17.0,0.003400
1,G37,3.0,0.000600
1,G40,95.0,0.019000
1,G43,194.0,0.038800
1,G44,38.0,0.007600
1,G45,34.0,0.006800
1,G46,3.0,0.000600
1,G47,741.0,0.148200
1,G50,16.0,0.003200
1,G51,10.0,0.002000
1,G52,2.0,0.000400
1,G54,6.0,0.001200
1,G56,76.0,0.015200
1,G57,70.0,0.014000
1,G58,5.0,0.001000
1,G60,93.0,0.018600
1,G61,17.0,0.003400
1,G62,299.0,0.059800
1,G63,270.0,0.054000
1,G64,2.0,0.000400
1,G70,3.0,0.000600
1,G71,2.0,0.000400
1,G72,8.0,0.001600
1,G80,3.0,0.000600
1,G81,38.0,0.007600
1,G82,25.0,0.005000
1,G83,19.0,0.003800
1,G89,254.0,0.050800
1,G90,31.0,0.006200
1,G91,10.0,0.002000
1,G92,6.0,0.001200
1,G93,55.0,0.011000
1,G95,12.0,0.002400
1,G96,4.0,0.000800
1,G97,2.0,0.000400
1,G99,5.0,0.001000
1,H00,14.0,0.002800
1,H01,36.0,0.007200
1,H02,46.0,0.009200
1,H04,49.0,0.009800
1,H05,3.0,0.000600
1,H10,115.0,0.023000
1,H11,21.0,0.004200
1,H15,2.0,0.000400
1,H16,13.0,0.002600
1,H17,3.0,0.000600
1,H18,10.0,0.002000
1,H20,4.0,0.000800
1,H21,5.0,0.001000
1,H25,128.0,0.025600
1,H26,189.0,0.037800
1,H27,18.0,0.003600
1,H30,5.0,0.001000
1,H31,3.0,0.000600
1,H33,13.0,0.002600
1,H34,14.0,0.002800
1,H35,159.0,0.031800
1,H40,391.0,0.078200
1,H42,35.0,0.007000
1,H43,72.0,0.014400
1,H44,22.0,0.004400
1,H46,2.0,0.000400
1,H47,7.0,0.001400
1,H49,3.0,0.000600
1,H50,2.0,0.000400
1,H52,32.0,0.006400
1,H53,91.0,0.018200
1,H54,52.0,0.010400
1,H55,2.0,0.000400
1,H57,19.0,0.003800
1,H59,4.0,0.000800
1,H60,42.0,0.008400
1,H61,288.0,0.057600
1,H65,9.0,0.001800
1,H66,28.0,0.005600
1,H68,1.0,0.000200
1,H69,36.0,0.007200
1,H70,1.0,0.000200
1,H71,2.0,0.000400
1,H72,12.0,0.002400
1,H74,4.0,0.000800
1,H80,1.0,0.000200
1,H81,133.0,0.026600
1,H83,6.0,0.001200
1,H90,257.0,0.051400
1,H91,243.0,0.048600
1,H92,42.0,0.008400
1,H93,107.0,0.021400
1,I00,1.0,0.000200
1,I05,11.0,0.002200
1,I07,16.0,0.003200
1,I08,6.0,0.001200
1,I09,2.0,0.000400
1,I10,2937.0,0.587400
1,I11,302.0,0.060400
1,I12,682.0,0.136400
1,I13,256.0,0.051200
1,I15,32.0,0.006400
1,I16,32.0,0.006400
1,I20,86.0,0.017200
1,I21,59.0,0.011800
1,I24,37.0,0.007400
1,I25,686.0,0.137200
1,I26,18.0,0.003600
1,I27,123.0,0.024600
1,I30,2.0,0.000400
1,I31,18.0,0.003600
1,I33,6.0,0.001200
1,I34,86.0,0.017200
1,I35,139.0,0.027800
1,I36,20.0,0.004000
1,I37,1.0,0.000200
1,I38,3.0,0.000600
1,I42,151.0,0.030200
1,I43,3.0,0.000600
1,I44,88.0,0.017600
1,I45,55.0,0.011000
1,I46,4.0,0.000800
1,I47,107.0,0.021400
1,I48,536.0,0.107200
1,I49,215.0,0.043000
1,I50,436.0,0.087200
1,I51,126.0,0.025200
1,I60,6.0,0.001200
1,I61,8.0,0.001600
1,I62,4.0,0.000800
1,I63,107.0,0.021400
1,I65,97.0,0.019400
1,I66,8.0,0.001600
1,I67,40.0,0.008000
1,I68,3.0,0.000600
1,I69,90.0,0.018000
1,I70,1241.0,0.248200
1,I71,84.0,0.016800
1,I72,18.0,0.003600
1,I73,673.0,0.134600
1,I74,4.0,0.000800
1,I75,2.0,0.000400
1,I77,416.0,0.083200
1,I78,4.0,0.000800
1,I79,2.0,0.000400
1,I80,7.0,0.001400
1,I81,4.0,0.000800
1,I82,80.0,0.016000
1,I83,90.0,0.018000
1,I85,6.0,0.001200
1,I86,5.0,0.001000
1,I87,91.0,0.018200
1,I88,1.0,0.000200
1,I89,21.0,0.004200
1,I95,83.0,0.016600
1,I96,4.0,0.000800
1,I97,7.0,0.001400
1,I99,7.0,0.001400
1,J00,6.0,0.001200
1,J01,121.0,0.024200
1,J02,64.0,0.012800
1,J03,1.0,0.000200
1,J04,12.0,0.002400
1,J06,255.0,0.051000
1,J09,9.0,0.001800
1,J10,10.0,0.002000
1,J11,26.0,0.005200
1,J12,6.0,0.001200
1,J13,1.0,0.000200
1,J14,1.0,0.000200
1,J15,10.0,0.002000
1,J16,5.0,0.001000
1,J18,138.0,0.027600
1,J20,133.0,0.026600
1,J21,1.0,0.000200
1,J22,7.0,0.001400
1,J30,549.0,0.109800
1,J31,69.0,0.013800
1,J32,73.0,0.014600
1,J33,13.0,0.002600
1,J34,72.0,0.014400
1,J35,3.0,0.000600
1,J36,1.0,0.000200
1,J37,3.0,0.000600
1,J38,19.0,0.003800
1,J39,6.0,0.001200
1,J40,28.0,0.005600
1,J41,3.0,0.000600
1,J42,13.0,0.002600
1,J43,82.0,0.016400
1,J44,380.0,0.076000
1,J45,501.0,0.100200
1,J47,67.0,0.013400
1,J61,1.0,0.000200
1,J66,1.0,0.000200
1,J67,1.0,0.000200
1,J68,1.0,0.000200
1,J69,22.0,0.004400
1,J70,1.0,0.000200
1,J80,7.0,0.001400
1,J81,22.0,0.004400
1,J84,81.0,0.016200
1,J85,1.0,0.000200
1,J86,1.0,0.000200
1,J90,42.0,0.008400
1,J91,20.0,0.004000
1,J92,1.0,0.000200
1,J93,6.0,0.001200
1,J94,5.0,0.001000
1,J95,4.0,0.000800
1,J96,87.0,0.017400
1,J98,98.0,0.019600
1,K00,4.0,0.000800
1,K01,1.0,0.000200
1,K02,6.0,0.001200
1,K04,12.0,0.002400
1,K05,7.0,0.001400
1,K06,2.0,0.000400
1,K08,13.0,0.002600
1,K11,17.0,0.003400
1,K12,27.0,0.005400
1,K13,38.0,0.007600
1,K14,16.0,0.003200
1,K20,19.0,0.003800
1,K21,1123.0,0.224600
1,K22,80.0,0.016000
1,K25,25.0,0.005000
1,K26,13.0,0.002600
1,K27,26.0,0.005200
1,K28,1.0,0.000200
1,K29,155.0,0.031000
1,K30,25.0,0.005000
1,K31,41.0,0.008200
1,K35,4.0,0.000800
1,K36,2.0,0.000400
1,K37,1.0,0.000200
1,K38,1.0,0.000200
1,K40,62.0,0.012400
1,K41,1.0,0.000200
1,K42,19.0,0.003800
1,K43,19.0,0.003800
1,K44,59.0,0.011800
1,K45,2.0,0.000400
1,K46,7.0,0.001400
1,K50,14.0,0.002800
1,K51,23.0,0.004600
1,K52,75.0,0.015000
1,K55,9.0,0.001800
1,K56,46.0,0.009200
1,K57,219.0,0.043800
1,K58,85.0,0.017000
1,K59,330.0,0.066000
1,K60,13.0,0.002600
1,K61,2.0,0.000400
1,K62,72.0,0.014400
1,K63,129.0,0.025800
1,K64,226.0,0.045200
1,K65,9.0,0.001800
1,K66,7.0,0.001400
1,K68,1.0,0.000200
1,K70,10.0,0.002000
1,K71,2.0,0.000400
1,K72,11.0,0.002200
1,K73,7.0,0.001400
1,K74,56.0,0.011200
1,K75,37.0,0.007400
1,K76,138.0,0.027600
1,K80,70.0,0.014000
1,K81,21.0,0.004200
1,K82,23.0,0.004600
1,K83,27.0,0.005400
1,K85,15.0,0.003000
1,K86,49.0,0.009800
1,K90,19.0,0.003800
1,K91,12.0,0.002400
1,K92,105.0,0.021000
1,K94,3.0,0.000600
1,L01,2.0,0.000400
1,L02,36.0,0.007200
1,L03,157.0,0.031400
1,L05,1.0,0.000200
1,L08,10.0,0.002000
1,L10,1.0,0.000200
1,L11,3.0,0.000600
1,L12,5.0,0.001000
1,L13,1.0,0.000200
1,L20,154.0,0.030800
1,L21,45.0,0.009000
1,L22,1.0,0.000200
1,L23,31.0,0.006200
1,L24,3.0,0.000600
1,L25,36.0,0.007200
1,L27,9.0,0.001800
1,L28,19.0,0.003800
1,L29,103.0,0.020600
1,L30,289.0,0.057800
1,L40,76.0,0.015200
1,L41,1.0,0.000200
1,L43,2.0,0.000400
1,L44,1.0,0.000200
1,L50,49.0,0.009800
1,L51,4.0,0.000800
1,L52,1.0,0.000200
1,L53,12.0,0.002400
1,L55,1.0,0.000200
1,L56,4.0,0.000800
1,L57,132.0,0.026400
1,L58,1.0,0.000200
1,L60,99.0,0.019800
1,L63,1.0,0.000200
1,L64,2.0,0.000400
1,L65,29.0,0.005800
1,L68,3.0,0.000600
1,L70,12.0,0.002400
1,L71,50.0,0.010000
1,L72,50.0,0.010000
1,L73,19.0,0.003800
1,L74,1.0,0.000200
1,L76,5.0,0.001000
1,L80,5.0,0.001000
1,L81,35.0,0.007000
1,L82,83.0,0.016600
1,L83,1.0,0.000200
1,L84,47.0,0.009400
1,L85,83.0,0.016600
1,L86,1.0,0.000200
1,L87,2.0,0.000400
1,L89,36.0,0.007200
1,L90,13.0,0.002600
1,L91,22.0,0.004400
1,L92,3.0,0.000600
1,L93,3.0,0.000600
1,L94,3.0,0.000600
1,L95,2.0,0.000400
1,L97,72.0,0.014400
1,L98,125.0,0.025000
1,M00,2.0,0.000400
1,M02,4.0,0.000800
1,M05,19.0,0.003800
1,M06,84.0,0.016800
1,M07,1.0,0.000200
1,M08,2.0,0.000400
1,M10,248.0,0.049600
1,M11,9.0,0.001800
1,M12,25.0,0.005000
1,M13,25.0,0.005000
1,M14,1.0,0.000200
1,M15,115.0,0.023000
1,M16,161.0,0.032200
1,M17,543.0,0.108600
1,M18,45.0,0.009000
1,M19,665.0,0.133000
1,M1A,39.0,0.007800
1,M20,76.0,0.015200
1,M21,88.0,0.017600
1,M22,37.0,0.007400
1,M23,28.0,0.005600
1,M24,14.0,0.002800
1,M25,803.0,0.160600
1,M26,32.0,0.006400
1,M27,4.0,0.000800
1,M31,10.0,0.002000
1,M32,7.0,0.001400
1,M33,1.0,0.000200
1,M34,4.0,0.000800
1,M35,53.0,0.010600
1,M40,22.0,0.004400
1,M41,68.0,0.013600
1,M42,1.0,0.000200
1,M43,68.0,0.013600
1,M45,5.0,0.001000
1,M46,44.0,0.008800
1,M47,181.0,0.036200
1,M48,279.0,0.055800
1,M50,84.0,0.016800
1,M51,223.0,0.044600
1,M53,43.0,0.008600
1,M54,870.0,0.174000
1,M60,8.0,0.001600
1,M62,156.0,0.031200
1,M65,78.0,0.015600
1,M66,6.0,0.001200
1,M67,50.0,0.010000
1,M70,59.0,0.011800
1,M71,32.0,0.006400
1,M72,92.0,0.018400
1,M75,147.0,0.029400
1,M76,47.0,0.009400
1,M77,86.0,0.017200
1,M79,496.0,0.099200
1,M80,8.0,0.001600
1,M81,824.0,0.164800
1,M84,2.0,0.000400
1,M85,590.0,0.118000
1,M86,20.0,0.004000
1,M87,10.0,0.002000
1,M88,2.0,0.000400
1,M89,16.0,0.003200
1,M93,1.0,0.000200
1,M94,24.0,0.004800
1,M95,3.0,0.000600
1,M96,10.0,0.002000
1,M97,4.0,0.000800
1,M99,14.0,0.002800
1,MemberGender=F,2966.0,0.593200
1,MemberGender=M,2034.0,0.406800
1,N00,1.0,0.000200
1,N01,1.0,0.000200
1,N02,6.0,0.001200
1,N03,2.0,0.000400
1,N04,10.0,0.002000
1,N05,4.0,0.000800
1,N08,1.0,0.000200
1,N10,12.0,0.002400
1,N12,15.0,0.003000
1,N13,106.0,0.021200
1,N14,1.0,0.000200
1,N15,3.0,0.000600
1,N17,247.0,0.049400
1,N18,1152.0,0.230400
1,N19,11.0,0.002200
1,N20,108.0,0.021600
1,N21,6.0,0.001200
1,N23,4.0,0.000800
1,N25,43.0,0.008600
1,N26,3.0,0.000600
1,N28,113.0,0.022600
1,N30,117.0,0.023400
1,N31,25.0,0.005000
1,N32,64.0,0.012800
1,N34,1.0,0.000200
1,N35,8.0,0.001600
1,N36,10.0,0.002000
1,N39,407.0,0.081400
1,N40,591.0,0.118200
1,N41,19.0,0.003800
1,N42,6.0,0.001200
1,N43,7.0,0.001400
1,N45,6.0,0.001200
1,N47,6.0,0.001200
1,N48,9.0,0.001800
1,N50,9.0,0.001800
1,N52,182.0,0.036400
1,N53,3.0,0.000600
1,N60,18.0,0.003600
1,N61,2.0,0.000400
1,N62,6.0,0.001200
1,N63,36.0,0.007200
1,N64,18.0,0.003600
1,N72,1.0,0.000200
1,N76,22.0,0.004400
1,N80,3.0,0.000600
1,N81,42.0,0.008400
1,N82,1.0,0.000200
1,N83,10.0,0.002000
1,N84,8.0,0.001600
1,N85,8.0,0.001600
1,N88,1.0,0.000200
1,N89,15.0,0.003000
1,N90,16.0,0.003200
1,N92,4.0,0.000800
1,N93,10.0,0.002000
1,N94,9.0,0.001800
1,N95,157.0,0.031400
1,N99,4.0,0.000800
1,O24,1.0,0.000200
1,O26,1.0,0.000200
1,O34,1.0,0.000200
1,P10,1.0,0.000200
1,P52,1.0,0.000200
1,Q05,1.0,0.000200
1,Q07,2.0,0.000400
1,Q10,2.0,0.000400
1,Q12,1.0,0.000200
1,Q14,2.0,0.000400
1,Q21,6.0,0.001200
1,Q23,2.0,0.000400
1,Q24,3.0,0.000600
1,Q25,4.0,0.000800
1,Q26,1.0,0.000200
1,Q27,4.0,0.000800
1,Q28,1.0,0.000200
1,Q38,1.0,0.000200
1,Q39,1.0,0.000200
1,Q40,1.0,0.000200
1,Q43,5.0,0.001000
1,Q44,2.0,0.000400
1,Q52,1.0,0.000200
1,Q54,1.0,0.000200
1,Q55,1.0,0.000200
1,Q60,3.0,0.000600
1,Q61,6.0,0.001200
1,Q64,1.0,0.000200
1,Q65,1.0,0.000200
1,Q66,5.0,0.001000
1,Q67,3.0,0.000600
1,Q71,1.0,0.000200
1,Q74,5.0,0.001000
1,Q76,4.0,0.000800
1,Q79,1.0,0.000200
1,Q80,2.0,0.000400
1,Q85,2.0,0.000400
1,Q89,1.0,0.000200
1,Q90,1.0,0.000200
1,R00,172.0,0.034400
1,R01,67.0,0.013400
1,R03,172.0,0.034400
1,R04,66.0,0.013200
1,R05,273.0,0.054600
1,R06,216.0,0.043200
1,R07,242.0,0.048400
1,R09,152.0,0.030400
1,R10,272.0,0.054400
1,R11,89.0,0.017800
1,R12,21.0,0.004200
1,R13,114.0,0.022800
1,R14,43.0,0.008600
1,R15,28.0,0.005600
1,R16,9.0,0.001800
1,R17,8.0,0.001600
1,R18,14.0,0.002800
1,R19,243.0,0.048600
1,R20,86.0,0.017200
1,R21,108.0,0.021600
1,R22,88.0,0.017600
1,R23,41.0,0.008200
1,R25,83.0,0.016600
1,R26,181.0,0.036200
1,R27,21.0,0.004200
1,R29,94.0,0.018800
1,R30,66.0,0.013200
1,R31,148.0,0.029600
1,R32,97.0,0.019400
1,R33,67.0,0.013400
1,R34,2.0,0.000400
1,R35,252.0,0.050400
1,R36,4.0,0.000800
1,R37,1.0,0.000200
1,R39,120.0,0.024000
1,R40,12.0,0.002400
1,R41,265.0,0.053000
1,R42,202.0,0.040400
1,R43,14.0,0.002800
1,R44,7.0,0.001400
1,R45,23.0,0.004600
1,R46,3.0,0.000600
1,R47,21.0,0.004200
1,R48,4.0,0.000800
1,R49,35.0,0.007000
1,R50,43.0,0.008600
1,R51,110.0,0.022000
1,R52,12.0,0.002400
1,R53,275.0,0.055000
1,R54,13.0,0.002600
1,R55,101.0,0.020200
1,R56,54.0,0.010800
1,R57,6.0,0.001200
1,R58,9.0,0.001800
1,R59,30.0,0.006000
1,R60,236.0,0.047200
1,R61,13.0,0.002600
1,R62,23.0,0.004600
1,R63,210.0,0.042000
1,R64,12.0,0.002400
1,R65,74.0,0.014800
1,R68,45.0,0.009000
1,R69,3.0,0.000600
1,R70,1.0,0.000200
1,R71,16.0,0.003200
1,R73,1063.0,0.212600
1,R74,116.0,0.023200
1,R76,19.0,0.003800
1,R77,6.0,0.001200
1,R78,20.0,0.004000
1,R79,129.0,0.025800
1,R80,156.0,0.031200
1,R81,1.0,0.000200
1,R82,44.0,0.008800
1,R83,1.0,0.000200
1,R87,9.0,0.001800
1,R89,1.0,0.000200
1,R90,3.0,0.000600
1,R91,98.0,0.019600
1,R92,30.0,0.006000
1,R93,36.0,0.007200
1,R94,133.0,0.026600
1,R97,156.0,0.031200
1,R99,2.0,0.000400
1,S00,34.0,0.006800
1,S01,43.0,0.008600
1,S02,9.0,0.001800
1,S03,4.0,0.000800
1,S05,13.0,0.002600
1,S06,35.0,0.007000
1,S09,68.0,0.013600
1,S10,1.0,0.000200
1,S12,9.0,0.001800
1,S13,5.0,0.001000
1,S14,4.0,0.000800
1,S16,11.0,0.002200
1,S19,4.0,0.000800
1,S20,20.0,0.004000
1,S21,2.0,0.000400
1,S22,42.0,0.008400
1,S23,4.0,0.000800
1,S24,2.0,0.000400
1,S27,2.0,0.000400
1,S29,12.0,0.002400
1,S30,4.0,0.000800
1,S31,8.0,0.001600
1,S32,50.0,0.010000
1,S33,7.0,0.001400
1,S36,3.0,0.000600
1,S37,2.0,0.000400
1,S39,19.0,0.003800
1,S40,13.0,0.002600
1,S41,10.0,0.002000
1,S42,19.0,0.003800
1,S43,19.0,0.003800
1,S44,1.0,0.000200
1,S45,1.0,0.000200
1,S46,39.0,0.007800
1,S48,1.0,0.000200
1,S49,4.0,0.000800
1,S50,12.0,0.002400
1,S51,8.0,0.001600
1,S52,19.0,0.003800
1,S56,1.0,0.000200
1,S59,2.0,0.000400
1,S60,22.0,0.004400
1,S61,27.0,0.005400
1,S62,19.0,0.003800
1,S63,21.0,0.004200
1,S66,4.0,0.000800
1,S68,2.0,0.000400
1,S69,6.0,0.001200
1,S70,16.0,0.003200
1,S71,1.0,0.000200
1,S72,37.0,0.007400
1,S73,6.0,0.001200
1,S76,16.0,0.003200
1,S79,1.0,0.000200
1,S80,48.0,0.009600
1,S81,20.0,0.004000
1,S82,31.0,0.006200
1,S83,35.0,0.007000
1,S86,12.0,0.002400
1,S88,2.0,0.000400
1,S89,14.0,0.002800
1,S90,14.0,0.002800
1,S91,8.0,0.001600
1,S92,15.0,0.003000
1,S93,21.0,0.004200
1,S96,4.0,0.000800
1,S97,2.0,0.000400
1,S98,1.0,0.000200
1,S99,11.0,0.002200
1,T07,6.0,0.001200
1,T14,34.0,0.006800
1,T15,1.0,0.000200
1,T16,4.0,0.000800
1,T17,4.0,0.000800
1,T18,3.0,0.000600
1,T24,2.0,0.000400
1,T25,1.0,0.000200
1,T30,1.0,0.000200
1,T31,1.0,0.000200
1,T36,8.0,0.001600
1,T37,1.0,0.000200
1,T38,8.0,0.001600
1,T39,2.0,0.000400
1,T40,7.0,0.001400
1,T42,2.0,0.000400
1,T43,1.0,0.000200
1,T44,1.0,0.000200
1,T45,10.0,0.002000
1,T46,11.0,0.002200
1,T47,2.0,0.000400
1,T48,3.0,0.000600
1,T50,15.0,0.003000
1,T58,1.0,0.000200
1,T62,1.0,0.000200
1,T63,7.0,0.001400
1,T65,1.0,0.000200
1,T69,1.0,0.000200
1,T70,3.0,0.000600
1,T74,1.0,0.000200
